"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U2";"EdgeConnector";1;"Expansion Pak Edge Connector";;;
2;"U1";"RAM Module";1;"MSM5718B70-60GS-K";;;
3;"C4,C6,C5,C3,C7,C8,C1,C2";"C_0805_2012Metric";8;"KEMET C0805C185K8PAC7800";;;
4;"R13";"R_0201_0603Metric";1;"Yageo RC0603FR-07510RL";;;
5;"R3,R1,R2";"Resistor Array";3;"Panasonic EXB-V8V510JV";;;
